,Date,day,month,year,site,reps,variable,value,avg_blank,cuvette,filter_vol,concentration
1,5/17/2018,17,5,2018,blank,1,blank,0.51,0.505,0.000887,10,0.000887
2,5/17/2018,17,5,2018,blank,2,blank,0.5,0.505,-0.000887,10,-0.000887
3,5/17/2018,17,5,2018,5,1,chla_rfu,3939.8,0.505,698.830933,10,698.830933
4,5/17/2018,17,5,2018,5,2,chla_rfu,4627.81,0.505,820.883907,10,820.883907
5,5/17/2018,17,5,2018,5,3,chla_rfu,4071.79,0.505,722.245959,10,722.245959
6,5/17/2018,17,5,2018,5,1,filter_vol,10,0.505,1.684413,10,1.684413
1,6/6/2018,6,6,2018,blank,1,blank,513.89,515.17,-1.190784,10,-1.190784
2,6/6/2018,6,6,2018,blank,2,blank,516.45,515.17,1.190784,10,1.190784
3,6/6/2018,6,6,2018,1,1,phyco,1777.03,515.17,1173.908358,10,1173.908358
4,6/6/2018,6,6,2018,1,2,phyco,1778.72,515.17,1175.480565,10,1175.480565
5,6/6/2018,6,6,2018,1,3,phyco,1877.9,515.17,1267.747719,10,1267.747719
6,6/6/2018,6,6,2018,1,1,filter_vol,10,515.17,-469.959651,10,-469.959651
